country1,country2,dist_squared
ago,gin,14475361.6225
ago,gmb,17074994.1961
ago,gnb,15533293.9129
ago,gnq,2205284.4004
ago,grc,28357968.0484
ago,grd,74196516.7876
ago,grl,94826501.6521
ago,gtm,137732287.6836
ago,guy,65769829.2196
ago,hkg,132345007.0569
ago,hnd,129449326.6564
ago,hrv,37047916.89
ago,hti,97385318.56
ago,hun,39639616
ago,idn,105984348.3169
ago,ind,64416194.4409
ago,irl,51277199.8561
ago,irn,40551678.7204
ago,irq,32911103.7124
ago,isl,74700584.7025
ago,isr,25970744.8225
ago,ita,31868734.6576
ago,jam,106591996.4356
ago,jor,26423300.9296
ago,jpn,192148113.0625
ago,kaz,74714241.1876
ago,ken,7531237.3761
ago,kgz,71483135.7529
ago,khm,108020892.7561
ago,kir,311802845.0436
ago,kna,78185031.3729
ago,kor,161427189.16
ago,kwt,31916850.25
ago,lao,105161128.1361
ago,lbn,28111097.9601
ago,lbr,9949229.9776
ago,lby,21403206.8496
ago,lca,73629613.7929
ago,lka,57673696.2624
ago,lso,7405038.2884
ago,ltu,51250851.4609
ago,lux,42775131.6729
ago,lva,54594956.5456
ago,mac,130955065.4736
ago,mar,27266777.4976
ago,mda,41001738.6276
ago,mdg,14879766.2049
ago,mdv,46731853.0449
ago,mex,160934596
ago,mhl,309644202.8241
ago,mkd,32712337.0809
ago,mli,11238786.9049
ago,mlt,24806376.36
ago,mmr,91304713.6225
ago,mng,121309517.6836
ago,mnp,219766096.7401
ago,moz,7808000.7184
ago,mrt,19322530.1476
ago,msr,77016771.8464
ago,mus,24160862.2369
ago,mwi,5355567.9241
ago,mys,98014950.0625
ago,nam,2505509.0944
ago,ncl,240345179.4249
ago,ner,7719395.4244
ago,nfk,225601902.0025
ago,nga,4071557.1961
ago,nic,126610204.4944
ago,niu,286109105.8576
ago,nld,47006518.5769
ago,nor,58599790.5025
ago,npl,76489717.3056
ago,nru,286746470.2881
ago,nzl,191443474.4161
ago,omn,37395304.1289
ago,pak,62237109.9025
ago,pan,109585095.5241
ago,pcn,211805526.5316
ago,per,96902367.21
ago,phl,147856601.7369
ago,plw,183940321.2516
ago,png,211103464.36
ago,pol,46767954.4641
ago,prk,158209857.4225
ago,prt,33402620.25
ago,pry,59046775.9561
ago,pyf,273687392.25
ago,qat,31595416.1604
ago,rus,56789035.2225
ago,rwa,4057605.9225
ago,sau,27116181.5824
ago,sdn,11884911.5025
ago,sen,18300770.6436
ago,sgp,102107589.3289
ago,shn,4857616
ago,slb,250234117.0641
ago,sle,12375831.4849
ago,slv,134107053.8116
ago,smr,34518445.0576
ago,som,14142112.36
ago,spm,84764429.6976
ago,stp,1535467.9396
ago,sur,60402118.7344
ago,svk,40395558.0625
ago,svn,37351654.56
ago,swe,57747840.64
ago,swz,7354510.0864
ago,syc,21968062.7401
ago,syr,28153317.6409
ago,tca,96065677.7161
ago,tcd,5499681.6196
ago,tgo,4530384.5409
ago,tha,99116360.7184
ago,tjk,60889149.9225
ago,tkl,322757753.0116
ago,tkm,49039207.84
ago,ton,274572522.2529
ago,tto,73233715.8289
ago,tun,25933861.8009
ago,tur,33393026.9689
ago,tuv,308152044.1476
ago,tza,8294860.8064
ago,uga,5635401.21
ago,ukr,46275910.9696
ago,ury,57472319.1025
ago,usa,108730462.2121
ago,uzb,63638591.6644
ago,vct,73743610.5081
ago,ven,83501581.9264
ago,vgb,82209400.9636
ago,vnm,113159597.5225
ago,vut,255980800.36
ago,wlf,301306760.0761
ago,wsm,274624223.8041
ago,yem,18946345.5076
ago,zaf,8089644.2929
ago,zmb,3210618.9124
ago,zwe,4708943.4001
aia,aia,14.44
aia,alb,65747447.9104
aia,and,43421905.6209
aia,ant,860182.0516
aia,are,138231751.84
aia,arg,34877056.2624
aia,arm,102563623.1169
aia,atg,31644.8521
aia,aus,263017361.1961
aia,aut,59944138.3696
aia,aze,110794781.3281
aia,bdi,107861933.6356
aia,bel,47290240.7041
aia,ben,52090141.0225
aia,bfa,43517770.24
aia,bgd,211654487.7225
aia,bgr,69976403.7361
aia,bhr,128383629.4225
aia,bhs,2756828.5369
aia,bih,63268979.4724
aia,blr,70999161.21
aia,blz,7443784.5889
aia,bmu,2487118.2436
aia,bol,15242231.0569
aia,bra,24777895.5076
aia,brb,460891.6321
aia,brn,304441428.0625
aia,btn,200463971.7609
aia,bwa,115682501.1364
aia,caf,80757002.5201
aia,can,10350375.84
aia,cck,316362072.3649
aia,che,50081098.24
aia,chl,33783412.5225
aia,chn,183967175.9025
aia,civ,43087540.0921
aia,cmr,68129671.5649
aia,cog,79814211.8544
aia,cok,130136075.5984
aia,col,3990126.1009
aia,com,147054670.0921
aia,cpv,17884779.3216
aia,cri,5964389.6841
aia,cub,4349477.0916
aia,cxr,343951890.4836
aia,cym,3737300.9041
aia,cyp,88771634.2969
aia,cze,57582448.6561
aia,deu,49924540.4329
aia,dji,127270888.4736
aia,dma,137551.9744
aia,dnk,55587462.49
aia,dom,504341.4289
aia,dza,45005716.4769
aia,ecu,7067941.2736
aia,egy,88593462.0081
aia,eri,114504124.4356
aia,esh,26884121.3001
aia,esp,37683883.2384
aia,est,66537627.8436
aia,eth,119685350.4064
aia,fin,66590332.8841
aia,fji,184036898.6404
aia,flk,60812235.1684
aia,fra,45031749.7249
aia,fro,42309691.0681
aia,fsm,216208498.2409
aia,gab,66489020.6464
aia,gbr,43220105.64
aia,geo,101582411.0161
aia,gha,48349354.3569
aia,gib,35525772.1225
aia,gin,26963717.8756
aia,gmb,24854911.1209
aia,gnb,26335679.1489
aia,gnq,63527276.16
aia,grc,72405463.5396
aia,grd,489020.49
aia,grl,26907251.3284
aia,gtm,8729838.4369
aia,guy,1906442.9476
aia,hkg,240805841.1264
aia,hnd,6875146.2025
aia,hrv,59846624.3236
aia,hti,959087.2489
aia,hun,63200274.0196
aia,idn,334631653.8436
aia,ind,176752238.8324
aia,irl,38653948.8729
aia,irn,118769455.4596
aia,irq,109069198.7044
aia,isl,35587786.8025
aia,isr,93264602.1696
aia,ita,56203209.7344
aia,jam,2110831.2369
aia,jor,95374170.0409
aia,jpn,184197283.9249
aia,kaz,145606214.2276
aia,ken,123389219.1249
aia,kgz,143293588.4809
aia,khm,271069223.0724
aia,kir,182460660.84
aia,kna,12168.2961
aia,kor,188884341.9904
aia,kwt,119721674.2276
aia,lao,246856574.1889
aia,lbn,93219797.4016
aia,lbr,33856105.96
aia,lby,58820309.9136
aia,lca,268106.4841
aia,lka,227858421.2004
aia,lso,122062944.2041
aia,ltu,68388103.4841
aia,lux,48912818.8129
aia,lva,66526860.96
aia,mac,240646343.3284
aia,mar,33775856.89
aia,mda,75451807.69
aia,mdg,162789018.8544
aia,mdv,214768145.7009
aia,mex,14429665.8496
aia,mhl,180662093.9236
aia,mkd,67747714.81
aia,mli,35060491.0161
aia,mlt,60011205.9561
aia,mmr,240961355.7849
aia,mng,158934179.7481
aia,mnp,229630380.6736
aia,moz,130820066.2756
aia,mrt,24660063.4921
aia,msr,36637.7881
aia,mus,190899817.2225
aia,mwi,125653338.6304
aia,mys,293411205.5625
aia,nam,96562853.6896
aia,ncl,220982792.9401
aia,ner,48438259.2576
aia,nfk,217072191.5569
aia,nga,53525172.8881
aia,nic,6679691.9401
aia,niu,153270094.8529
aia,nld,48045830.8801
aia,nor,54322353.9369
aia,npl,192970716.1321
aia,nru,202497738.2289
aia,nzl,194981007.8736
aia,omn,148247183.4624
aia,pak,159324224.4169
aia,pan,4215178.5481
aia,pcn,75863751.6004
aia,per,13743480.1284
aia,phl,267415376.0656
aia,plw,275505222.7225
aia,png,276781450.5625
aia,pol,64402230.01
aia,prk,184939600.5625
aia,prt,31986376.9225
aia,pry,23746616.3025
aia,pyf,105368993.2036
aia,qat,131319452.6809
aia,rus,81030242.8224
aia,rwa,108479515.6225
aia,sau,122279142.8401
aia,sdn,101042100.8809
aia,sen,23758995.4624
aia,sgp,303917856.8976
aia,shn,53946821.5225
aia,slb,233967921.9201
aia,sle,30043991.9376
aia,slv,8042896
aia,smr,55938283.0561
aia,som,141259880.6784
aia,spm,10427022.2281
aia,stp,62043663.1684
